"z","y","x","ch"
20,364,1092,3
10,2014,598,3
9,1444,1136,3
11,1772,318,3
12,1790,378,3
10,1246,1054,3
20,242,972,3
12,1316,982,3
13,1156,1038,3
5,1712,398,3
15,1254,830,3
6,1650,972,3
16,1084,960,3
19,522,704,3
7,1738,380,3
18,1032,984,3
21,296,702,3
15,1314,920,3
8,1568,894,3
7,1774,376,3
8,1278,1130,3
6,1612,1014,3
8,1538,1168,3
9,1522,1096,3
12,1388,764,3
8,1576,1200,3
19,210,972,3
14,1150,1080,3
22,522,668,3
12,1092,908,3
19,366,928,3
6,1906,420,3
14,1374,808,3
9,1510,1252,3
10,1476,1032,3
9,1296,1306,3
8,1504,1164,3
13,1094,736,3
21,544,770,3
15,1000,888,3
21,454,770,3
29,454,888,3
8,1756,268,3
15,996,868,3
13,1334,1172,3
12,1198,806,3
12,1154,966,3
11,1238,1050,3
11,1224,1200,3
8,1430,896,3
10,1794,490,3
10,1464,1100,3
25,488,994,3
24,486,872,3
5,1592,1254,3
5,1568,258,3
16,634,1046,3
16,1072,880,3
15,1146,848,3
13,918,1200,3
10,1288,1066,3
6,1934,388,3
21,504,1036,3
15,618,190,3
12,1070,1094,3
11,1278,1220,3
10,1260,794,3
12,1056,1130,3
18,510,972,3
20,558,968,3
11,1404,1114,3
18,392,1148,3
8,1550,968,3
17,1220,850,3
23,506,846,3
23,490,716,3
15,1308,962,3
17,556,524,3
18,454,1102,3
13,1082,912,3
17,686,924,3
9,1596,936,3
20,276,872,3
12,1272,880,3
10,1660,322,3
17,592,888,3
24,514,938,3
7,2002,608,3
21,534,704,3
15,1310,870,3
7,1834,464,3
13,894,328,3
5,1646,994,3
22,336,850,3
18,428,914,3
23,422,972,3
9,1608,830,3
7,1884,246,3
16,434,1150,3
11,1304,864,3
7,1824,388,3
18,600,836,3
11,1486,1020,3
7,1760,468,3
12,1134,804,3
14,902,868,3
18,384,828,3
22,330,716,3
7,1560,1234,3
23,358,986,3
20,1266,938,3
5,1734,140,3
21,470,896,3
20,1258,940,3
6,1642,116,3
13,1084,1102,3
13,946,782,3
10,1468,1146,3
6,2040,646,3
8,1512,1030,3
20,1240,972,3
19,246,880,3
23,328,772,3
16,694,1018,3
17,1224,1034,3
12,1212,810,3
16,478,624,3
15,950,996,3
10,1594,340,3
27,458,1004,3
22,352,842,3
6,1560,956,3
10,2020,690,3
16,660,920,3
5,1906,360,3
15,726,280,3
21,470,958,3
20,468,716,3
21,408,962,3
11,1110,1140,3
18,1198,970,3
14,890,982,3
9,1488,1038,3
9,1454,822,3
14,1210,1016,3
9,1416,1218,3
15,1026,884,3
16,730,1100,3
15,1202,1012,3
19,462,836,3
18,308,1040,3
18,306,1134,3
8,1612,866,3
10,1296,1146,3
18,316,1108,3
10,1428,950,3
10,1786,338,3
19,500,1002,3
7,1626,956,3
11,1334,998,3
9,2022,774,3
15,1228,1072,3
17,1318,950,3
16,1078,874,3
14,862,936,3
16,426,1090,3
17,620,812,3
12,1388,1076,3
10,1450,1174,3
9,1922,352,3
30,438,950,3
5,2016,376,3
20,1142,898,3
25,464,804,3
9,1722,226,3
7,1626,1038,3
14,884,1086,3
18,490,1042,3
11,1156,914,3
16,1146,894,3
13,1294,936,3
9,1668,398,3
10,1396,1184,3
20,276,898,3
9,1540,1124,3
17,1228,954,3
16,816,902,3
12,1274,236,3
13,1218,1090,3
26,372,946,3
